prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
Frida Sensation Framboise 460 ml,89.0,62.0,30.0,4.5
Superkids Kids Green Apple Shampoo 300 ml,150.0,110.0,27.0,4.3
Strongville Hair Tonic Spray 220 ml,185.0,122.0,34.0,4.1
Brix Pine Floor Cleaner - 730 ML,64.0,39.0,39.0,4.3
Testa Toro X5 Suede Leather Sneaker - Washable and Easy to Clean,458.0,339.0,26.0,4.2
Oxi Softener - Lavender - 1 Litre,127.0,69.0,46.0,4.1
Samsung 55 Inch TV Crystal Processor 4K LED - Titan Gray - UA55U8000FUXEG [2025 Model],29.0,20.0,30.0,4.2
Renol Alcohol 115 ml - Pine,40.0,29.0,28.0,4.4
Clorel 2x1 Lavender Scented Bleach - 2kg,63.0,42.0,33.0,4.4
Cybele Matte Lipstick - No. 314 Nude Berry,230.0,159.0,31.0,3.8
ADIDAS Lite Racer 4.0 Shoes,3.0,2.0,43.0,4.7
ADIDAS Barreda Shoes,4.0,2.0,45.0,5.0
